Type,Name,Review Date,Status,Last Updated,Notes
Clinical Protocol,HIPAA Privacy & Security Policies,2025-12-31,Current,2025-01-15,Annual review required
Clinical Protocol,Infection Control Policy,2025-06-30,Current,2025-01-15,Semi-annual review
Clinical Protocol,Emergency Response Procedures,2025-12-31,Current,2025-01-15,Annual review and drill
Clinical Protocol,Medication Management Policy,2025-12-31,Current,2025-01-15,Includes controlled substances
Clinical Protocol,Ketamine Administration Protocol,2025-06-30,Current,2025-01-15,Review after each update from KRF
Operational,Employee Handbook,2025-12-31,Current,2025-01-15,Annual review
Operational,Code of Conduct,2025-12-31,Current,2025-01-15,Annual acknowledgment required
Operational,IT Security Policy,2025-06-30,Current,2025-01-15,Semi-annual review
Compliance,OSHA Exposure Control Plan,2025-12-31,Current,2025-01-15,Annual review required by OSHA
Compliance,CLIA Quality Control Procedures,2025-12-31,Current,2025-01-15,Annual review
Compliance,Medical Waste Management Plan,2025-12-31,Current,2025-01-15,Per WI DNR requirements